Posição,País (ou território dependente),Estimativa da ONU,Data
–,Nova Caledônia (França),285 498,2020
–,Polinésia Francesa (França),280 908,2020
–,Mayotte (França),272 815,2020
–,Abecásia (Geórgia),245 424,2020
175,São Tomé e Príncipe,219 159,2020
176,Samoa,198 414,2020
177,Santa Lúcia,183 627,2020
–,Guam (Estados Unidos),168 775,2020
–,Curaçau (Países Baixos),164 093,2020
178,Kiribati,119 449,2020
179,Estados Federados da Micronésia,114 419,2020
180,Granada,112 523,2020
181,São Vicente e Granadinas,110 940,2020
–,Jersey (Reino Unido),107 800,2020
–,Aruba (Países Baixos),106 766,2020
182,Tonga,105 695,2020
–,U.S. Ilhas Virgens (Estados Unidos),104 425,2020
183,Seicheles,98 347,2020
184,Antígua e Barbuda,97 929,2020
–,Ilha de Man (Reino Unido),85 033,2020
185,Andorra,77 265,2020
186,Domínica,71 986,2020
–,Ilhas Cayman (Reino Unido),65 722,2020
–,Guernsey (Reino Unido),63 155,2020
–,Bermudas (Reino Unido),62 278,2020
187,Ilhas Marshall,59 190,2020
–,Marianas Setentrionais (Estados Unidos),57 559,2020
–,Ossétia do Sul (Geórgia),57 095,2020
–,Gronelândia (Dinamarca),56 770,2020
–,Samoa Americana (Estados Unidos),55 191,2020
188,São Cristóvão e Nevis,53 199,2020
–,Ilhas Faroe (Dinamarca),48 863,2020
–,São Martinho (Países Baixos),42 876,2020
189,Mónaco,39 242,2020
–,Ilhas Turks e Caicos (Reino Unido),38 717,2020
–,São Martinho (França),38 666,2020
190,Liechtenstein,38 128,2020
191,San Marino,33 931,2020
–,Gibraltar (Reino Unido),33 691,2020
–,Ilhas Virgens Britânicas (Reino Unido),30 231,2020
–,Bonaire (Países Baixos),20 915,2020
192,Palau,18 094,2020
–,Ilhas Cook,17 564,2020
–,Anguila (Reino Unido),15 003,2020
193,Tuvalu,11 792,2020
–,Wallis e Futuna (França),11 239,2020
194,Nauru,10 824,2020
–,São Bartolomeu (França),9 877,2020
–,São Pedro e Miquelão (França),6 008,2016
–,Montserrat (Reino Unido),4 992,2020
–,Santa Helena (território) do Reino Unido),4 889,2020
–,Ilhas Malvinas (Reino Unido),3 480,2020
–,Santo Eustáquio (Países Baixos),3 139,2020
–,Território Britânico do Oceano Índico (UK),3 000,2020
–,Ilha Christmas (Austrália),1 996,2020
–,Niue,1 626,2020
–,Saba (Países Baixos),1 933,2020
–,Ilha Norfolk (Austrália),1 734,2020
–,Tokelau (NZ),1 357,2020
–,Ilha de Ascensão (Reino Unido),806,2021
195,Vaticano,801,2020
–,Ilhas Cocos (Keeling) (Austrália),573,2020
–,Tristão da Cunha (Reino Unido),241,2022
–,Ilhas Pitcairn (Reino Unido),40,2021
